A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Miss Bartlett,Mr. Beebe,39,40,then i will say no more i am as it were the chaperon of my young cousin lucy and it would be a serious thing if i put her under an obligation to people of whom we know nothing his manner was somewhat unfortunate i hope i acted for the best,you acted very naturally all the same i don t think much harm would have come of accepting,Lucy; Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,40,41,you acted very naturally all the same i don t think much harm would have come of accepting,no harm of course but we could not be under an obligation,Lucy; Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,41,42,no harm of course but we could not be under an obligation,he is rather a peculiar man i think he would not take advantage of your acceptance nor expect you to show gratitude he has the merit if it is one of saying exactly what he means he has rooms he does not value and he thinks you would value them he no more thought of putting you under an obligation than he thought of being polite it is so difficult at least i find it difficult to understand people who speak the truth,Lucy; Mr. Beebe,F,major,M,major
Mr. Beebe,Lucy,42,43,he is rather a peculiar man i think he would not take advantage of your acceptance nor expect you to show gratitude he has the merit if it is one of saying exactly what he means he has rooms he does not value and he thinks you would value them he no more thought of putting you under an obligation than he thought of being polite it is so difficult at least i find it difficult to understand people who speak the truth,i was hoping that he was nice i do so always hope that people will be nice,Lucy; Miss Bartlett,M,major,,
Lucy,Mr. Beebe,43,44,i was hoping that he was nice i do so always hope that people will be nice,i think he is nice and tiresome i differ from him on almost every point of any importance and so i expect i may say i hope you will differ but his is a type one disagrees with rather than deplores when he first came here he not unnaturally put people s backs up he has no tact and no manners i don t mean by that that he has bad manners and he will not keep his opinions to himself we nearly complained about him to our depressing signora but i am glad to say we thought better of it,Miss Bartlett; Mr. Beebe,,,M,major
Mr. Beebe,Miss Bartlett,44,45,i think he is nice and tiresome i differ from him on almost every point of any importance and so i expect i may say i hope you will differ but his is a type one disagrees with rather than deplores when he first came here he not unnaturally put people s backs up he has no tact and no manners i don t mean by that that he has bad manners and he will not keep his opinions to himself we nearly complained about him to our depressing signora but i am glad to say we thought better of it,am i to conclude that he is a socialist and presumably he has brought up his son to be a socialist too,Lucy; Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,45,46,am i to conclude that he is a socialist and presumably he has brought up his son to be a socialist too,i hardly know george for he hasn t learnt to talk yet he seems a nice creature and i think he has brains of course he has all his father s mannerisms and it is quite possible that he too may be a socialist,Lucy; Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,46,47,i hardly know george for he hasn t learnt to talk yet he seems a nice creature and i think he has brains of course he has all his father s mannerisms and it is quite possible that he too may be a socialist,oh you relieve me so you think i ought to have accepted their offer you feel i have been narrow minded and suspicious,Lucy; Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,47,48,oh you relieve me so you think i ought to have accepted their offer you feel i have been narrow minded and suspicious,not at all i never suggested that,Lucy; Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,48,49,not at all i never suggested that,but ought i not to apologize at all events for my apparent rudeness,Lucy; Miss Bartlett,M,major,F,major
Miss Bartlett,Lucy,50,51,was i a bore why didn t you talk lucy he prefers young people i m sure i do hope i haven t monopolized him i hoped you would have him all the evening as well as all dinner time,he is nice just what i remember he seems to see good in everyone no one would take him for a clergyman,Lucy,F,major,,
Lucy,Miss Bartlett,51,52,he is nice just what i remember he seems to see good in everyone no one would take him for a clergyman,my dear lucia,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,52,53,my dear lucia,well you know what i mean and you know how clergymen generally laugh mr beebe laughs just like an ordinary man,Lucy,F,major,,
Lucy,Miss Bartlett,53,54,well you know what i mean and you know how clergymen generally laugh mr beebe laughs just like an ordinary man,funny girl how you do remind me of your mother i wonder if she will approve of mr beebe,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,54,55,funny girl how you do remind me of your mother i wonder if she will approve of mr beebe,i m sure she will and so will freddy,Lucy,F,major,,
Lucy,Miss Bartlett,55,56,i m sure she will and so will freddy,i think everyone at windy corner will approve it is the fashionable world i am used to tunbridge wells where we are all hopelessly behind the times,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,56,57,i think everyone at windy corner will approve it is the fashionable world i am used to tunbridge wells where we are all hopelessly behind the times,yes,Lucy,F,major,,
Lucy,Miss Bartlett,57,58,yes,i am afraid you are finding me a very depressing companion,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,58,59,i am afraid you are finding me a very depressing companion,i must have been selfish or unkind i must be more careful it is so dreadful for charlotte being poor,Lucy,F,major,,
The Little Old Lady,Lucy,60,61,but here you are as safe as in england signora bertolini is so english,yet our rooms smell we dread going to bed,Lucy; Miss Bartlett,F,minor,,
Lucy,The Little Old Lady,61,62,yet our rooms smell we dread going to bed,ah then you look into the court if only mr emerson was more tactful we were so sorry for you at dinner,Miss Bartlett; The Little Old Lady,,,F,minor
The Little Old Lady,Lucy,62,63,ah then you look into the court if only mr emerson was more tactful we were so sorry for you at dinner,i think he was meaning to be kind,Lucy; Miss Bartlett,F,minor,,
Lucy,Miss Bartlett,63,64,i think he was meaning to be kind,undoubtedly he was,Miss Bartlett; The Little Old Lady,,,F,major
Miss Bartlett,Lucy,64,65,undoubtedly he was,mr beebe has just been scolding me for my suspicious nature of course i was holding back on my cousin s account about old mr emerson i hardly know no he is not tactful yet have you ever noticed that there are people who do things which are most indelicate and yet at the same time beautiful,Lucy; The Little Old Lady,F,major,,
Lucy,Miss Bartlett,65,66,mr beebe has just been scolding me for my suspicious nature of course i was holding back on my cousin s account about old mr emerson i hardly know no he is not tactful yet have you ever noticed that there are people who do things which are most indelicate and yet at the same time beautiful,beautiful are not beauty and delicacy the same,Miss Bartlett; The Little Old Lady,,,F,major
Miss Bartlett,Lucy,66,67,beautiful are not beauty and delicacy the same,so one would have thought but things are so difficult i sometimes think,Lucy; The Little Old Lady,F,major,,
Mr. Beebe,Lucy,68,69,miss bartlett it s all right about the rooms i m so glad mr emerson was talking about it in the smoking room and knowing what i did i encouraged him to make the offer again he has let me come and ask you he would be so pleased,oh charlotte we must have the rooms now the old man is just as nice and kind as he can be,Lucy; Miss Bartlett; The Little Old Lady,M,major,,
Lucy,Mr. Beebe,69,70,oh charlotte we must have the rooms now the old man is just as nice and kind as he can be,i fear that i have been officious i must apologize for my interference,Miss Bartlett; Mr. Beebe; The Little Old Lady,,,M,major
Mr. Beebe,Miss Bartlett,70,71,i fear that i have been officious i must apologize for my interference,my own wishes dearest lucy are unimportant in comparison with yours it would be hard indeed if i stopped you doing as you liked at florence when i am only here through your kindness if you wish me to turn these gentlemen out of their rooms i will do it would you then mr beebe kindly tell mr emerson that i accept his kind offer and then conduct him to me in order that i may thank him personally,Lucy; Miss Bartlett; The Little Old Lady,M,major,F,major
Mr. Beebe,George Emerson,73,74,mr emerson is engaged but here is his son instead,my father is in his bath so you cannot thank him personally but any message given by you to me will be given by me to him as soon as he comes out,George Emerson; Lucy; Miss Bartlett; The Little Old Lady,M,major,M,intermediate
George Emerson,Miss Bartlett,74,75,my father is in his bath so you cannot thank him personally but any message given by you to me will be given by me to him as soon as he comes out,poor young man,Lucy; Miss Bartlett; Mr. Beebe; The Little Old Lady,M,intermediate,F,major
Miss Bartlett,Lucy,75,76,poor young man,how angry he is with his father about the rooms it is all he can do to keep polite,Lucy; Mr. Beebe; The Little Old Lady,F,major,,
Lucy,Mr. Beebe,76,77,how angry he is with his father about the rooms it is all he can do to keep polite,in half an hour or so your rooms will be ready,Miss Bartlett; Mr. Beebe; The Little Old Lady,,,M,major
Mr. Beebe,Miss Bartlett,77,78,in half an hour or so your rooms will be ready,i think one might venture now no lucy do not stir i will superintend the move,Lucy; Miss Bartlett; The Little Old Lady,M,major,F,major
Miss Bartlett,Lucy,78,79,i think one might venture now no lucy do not stir i will superintend the move,how you do do everything,Lucy,F,major,,
Lucy,Miss Bartlett,79,80,how you do do everything,naturally dear it is my affair,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,80,81,naturally dear it is my affair,but i would like to help you,Lucy,F,major,,
Lucy,Miss Bartlett,81,82,but i would like to help you,no dear i want to explain why it is that i have taken the largest room naturally of course i should have given it to you but i happen to know that it belongs to the young man and i was sure your mother would not like it if you are to accept a favour it is more suitable you should be under an obligation to his father than to him i am a woman of the world in my small way and i know where things lead to however mr beebe is a guarantee of a sort that they will not presume on this,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,82,83,no dear i want to explain why it is that i have taken the largest room naturally of course i should have given it to you but i happen to know that it belongs to the young man and i was sure your mother would not like it if you are to accept a favour it is more suitable you should be under an obligation to his father than to him i am a woman of the world in my small way and i know where things lead to however mr beebe is a guarantee of a sort that they will not presume on this,mother wouldn t mind i m sure,Lucy,F,major,,
Lucy,Miss Bartlett,83,84,mother wouldn t mind i m sure,what does it mean,Miss Bartlett,,,F,major
Miss Lavish,Lucy,86,87,a smell a true florentine smell every city let me teach you has its own smell,is it a very nice smell,Lucy,F,intermediate,,
Lucy,Miss Lavish,87,88,is it a very nice smell,one doesn t come to italy for niceness one comes for life buon giorno buon giorno look at that adorable wine cart how the driver stares at us dear simple soul buon giorno take the word of an old woman miss lucy you will never repent of a little civility to your inferiors that is the true democracy though i am a real radical as well there now you re shocked,Miss Lavish,,,F,intermediate
Miss Lavish,Lucy,88,89,one doesn t come to italy for niceness one comes for life buon giorno buon giorno look at that adorable wine cart how the driver stares at us dear simple soul buon giorno take the word of an old woman miss lucy you will never repent of a little civility to your inferiors that is the true democracy though i am a real radical as well there now you re shocked,indeed i m not we are radicals too out and out my father always voted for mr gladstone until he was so dreadful about ireland,Lucy,F,intermediate,,
Lucy,Miss Lavish,89,90,indeed i m not we are radicals too out and out my father always voted for mr gladstone until he was so dreadful about ireland,i see i see and now you have gone over to the enemy,Miss Lavish,,,F,intermediate
Miss Lavish,Lucy,90,91,i see i see and now you have gone over to the enemy,oh please if my father was alive i am sure he would vote radical again now that ireland is all right and as it is the glass over our front door was broken last election and freddy is sure it was the tories but mother says nonsense a tramp,Lucy,F,intermediate,,
Lucy,Miss Lavish,91,92,oh please if my father was alive i am sure he would vote radical again now that ireland is all right and as it is the glass over our front door was broken last election and freddy is sure it was the tories but mother says nonsense a tramp,shameful a manufacturing district i suppose,Miss Lavish,,,F,intermediate
Miss Lavish,Lucy,92,93,shameful a manufacturing district i suppose,no in the surrey hills about five miles from dorking looking over the weald,Lucy,F,intermediate,,
Lucy,Miss Lavish,93,94,no in the surrey hills about five miles from dorking looking over the weald,what a delightful part i know it so well it is full of the very nicest people do you know sir harry otway a radical if ever there was,Miss Lavish,,,F,intermediate
Miss Lavish,Lucy,94,95,what a delightful part i know it so well it is full of the very nicest people do you know sir harry otway a radical if ever there was,very well indeed,Lucy,F,intermediate,,
Lucy,Miss Lavish,95,96,very well indeed,and old mrs butterworth the philanthropist,Miss Lavish,,,F,intermediate
Miss Lavish,Lucy,96,97,and old mrs butterworth the philanthropist,why she rents a field of us how funny,Lucy,F,intermediate,,
Lucy,Miss Lavish,97,98,why she rents a field of us how funny,oh you have property in surrey,Miss Lavish,,,F,intermediate
Miss Lavish,Lucy,98,99,oh you have property in surrey,hardly any only thirty acres just the garden all downhill and some fields,Lucy,F,intermediate,,
Lucy,Miss Lavish,99,100,hardly any only thirty acres just the garden all downhill and some fields,bless us bless us and save us we ve lost the way lost lost my dear miss lucy during our political diatribes we have taken a wrong turning how those horrid conservatives would jeer at us what are we to do two lone females in an unknown town now this is what i call an adventure oh but that is the word of a craven and no you are not not not to look at your baedeker give it to me i shan t let you carry it we will simply drift stop a minute let those two people go on or i shall have to speak to them i do detest conventional intercourse nasty they are going into the church too oh the britisher abroad,Miss Lavish,,,F,intermediate
Miss Lavish,Lucy,100,101,bless us bless us and save us we ve lost the way lost lost my dear miss lucy during our political diatribes we have taken a wrong turning how those horrid conservatives would jeer at us what are we to do two lone females in an unknown town now this is what i call an adventure oh but that is the word of a craven and no you are not not not to look at your baedeker give it to me i shan t let you carry it we will simply drift stop a minute let those two people go on or i shall have to speak to them i do detest conventional intercourse nasty they are going into the church too oh the britisher abroad,we sat opposite them at dinner last night they have given us their rooms they were so very kind,Lucy,F,intermediate,,
Lucy,Miss Lavish,101,102,we sat opposite them at dinner last night they have given us their rooms they were so very kind,look at their figures they walk through my italy like a pair of cows it s very naughty of me but i would like to set an examination paper at dover and turn back every tourist who couldn t pass it,Miss Lavish,,,F,intermediate
Miss Lavish,Lucy,102,103,look at their figures they walk through my italy like a pair of cows it s very naughty of me but i would like to set an examination paper at dover and turn back every tourist who couldn t pass it,what would you ask us,Lucy,F,intermediate,,
Lucy,Miss Lavish,103,104,what would you ask us,there goes my local colour box i must have a word with him,Miss Lavish,,,F,intermediate
Mr. Emerson,Italian Lady,106,107,you are a clever woman you have done more than all the relics in the world i am not of your creed but i do believe in those who make their fellow creatures happy there is no scheme of the universe,niente,George Emerson; Italian Lady; Lucy,M,intermediate,F,minor
Italian Lady,Lucy,107,108,niente,i m not sure she understands english,George Emerson; Lucy; Mr. Emerson,F,minor,,
Lucy,Mr. Emerson,108,109,i m not sure she understands english,that woman understands everything but what are you doing here are you doing the church are you through with the church,George Emerson; Mr. Emerson,,,M,intermediate
Mr. Emerson,Lucy,109,110,that woman understands everything but what are you doing here are you doing the church are you through with the church,no i came here with miss lavish who was to explain everything and just by the door it is too bad she simply ran away and after waiting quite a time i had to come in by myself,George Emerson; Lucy,M,intermediate,,
Lucy,Mr. Emerson,110,111,no i came here with miss lavish who was to explain everything and just by the door it is too bad she simply ran away and after waiting quite a time i had to come in by myself,why shouldn t you,George Emerson; Mr. Emerson,,,M,intermediate
Mr. Emerson,George Emerson,111,112,why shouldn t you,yes why shouldn t you come by yourself,George Emerson; Lucy,M,intermediate,M,intermediate
George Emerson,Lucy,112,113,yes why shouldn t you come by yourself,but miss lavish has even taken away baedeker,Lucy; Mr. Emerson,M,intermediate,,
Lucy,Mr. Emerson,113,114,but miss lavish has even taken away baedeker,baedeker i m glad it s that you minded it s worth minding the loss of a baedeker that s worth minding,George Emerson; Mr. Emerson,,,M,intermediate
Mr. Emerson,George Emerson,114,115,baedeker i m glad it s that you minded it s worth minding the loss of a baedeker that s worth minding,if you ve no baedeker you d better join us,George Emerson; Lucy,M,intermediate,M,intermediate
George Emerson,Lucy,115,116,if you ve no baedeker you d better join us,thank you very much but i could not think of that i hope you do not suppose that i came to join on to you i really came to help with the child and to thank you for so kindly giving us your rooms last night i hope that you have not been put to any great inconvenience,Lucy; Mr. Emerson,M,intermediate,,
Lucy,Mr. Emerson,116,117,thank you very much but i could not think of that i hope you do not suppose that i came to join on to you i really came to help with the child and to thank you for so kindly giving us your rooms last night i hope that you have not been put to any great inconvenience,my dear i think that you are repeating what you have heard older people say you are pretending to be touchy but you are not really stop being so tiresome and tell me instead what part of the church you want to see to take you to it will be a real pleasure,George Emerson; Mr. Emerson,,,M,intermediate
Mr. Emerson,Lucy,117,118,my dear i think that you are repeating what you have heard older people say you are pretending to be touchy but you are not really stop being so tiresome and tell me instead what part of the church you want to see to take you to it will be a real pleasure,i am not touchy i hope it is the giottos that i want to see if you will kindly tell me which they are,George Emerson; Lucy,M,intermediate,,
Lucy,George Emerson,118,119,i am not touchy i hope it is the giottos that i want to see if you will kindly tell me which they are,remember the facts about this church of santa croce how it was built by faith in the full fervour of medievalism before any taint of the renaissance had appeared observe how giotto in these frescoes now unhappily ruined by restoration is untroubled by the snares of anatomy and perspective could anything be more majestic more pathetic beautiful true how little we feel avails knowledge and technical cleverness against a man who truly feels,George Emerson; Mr. Emerson,,,M,intermediate
George Emerson,Mr. Emerson,119,120,remember the facts about this church of santa croce how it was built by faith in the full fervour of medievalism before any taint of the renaissance had appeared observe how giotto in these frescoes now unhappily ruined by restoration is untroubled by the snares of anatomy and perspective could anything be more majestic more pathetic beautiful true how little we feel avails knowledge and technical cleverness against a man who truly feels,no remember nothing of the sort built by faith indeed that simply means the workmen weren t paid properly and as for the frescoes i see no truth in them look at that fat man in blue he must weigh as much as i do and he is shooting into the sky like an air balloon now did this happen or didn t it yes or no,Lucy; Mr. Emerson,M,intermediate,M,intermediate
Mr. Emerson,George Emerson,120,121,no remember nothing of the sort built by faith indeed that simply means the workmen weren t paid properly and as for the frescoes i see no truth in them look at that fat man in blue he must weigh as much as i do and he is shooting into the sky like an air balloon now did this happen or didn t it yes or no,it happened like this if it happened at all i would rather go up to heaven by myself than be pushed by cherubs and if i got there i should like my friends to lean out of it just as they do here,George Emerson; Lucy,M,intermediate,M,intermediate
George Emerson,Mr. Emerson,121,122,it happened like this if it happened at all i would rather go up to heaven by myself than be pushed by cherubs and if i got there i should like my friends to lean out of it just as they do here,you will never go up you and i dear boy will lie at peace in the earth that bore us and our names will disappear as surely as our work survives,Lucy; Mr. Emerson,M,intermediate,M,intermediate
Mr. Emerson,George Emerson,122,123,you will never go up you and i dear boy will lie at peace in the earth that bore us and our names will disappear as surely as our work survives,some of the people can only see the empty grave not the saint whoever he is going up it did happen like that if it happened at all,George Emerson; Lucy,M,intermediate,M,intermediate
Rev. Cuthbert Eager,Mr. Emerson,124,125,pardon me the chapel is somewhat small for two parties we will incommode you no longer,stop there s plenty of room for us all stop,George Emerson; Lucy; Mr. Emerson,M,intermediate,M,intermediate
Mr. Emerson,George Emerson,126,127,george i do believe that clergyman is the brixton curate,perhaps he is i don t remember,George Emerson; Lucy,M,intermediate,M,intermediate
George Emerson,Mr. Emerson,127,128,perhaps he is i don t remember,then i had better speak to him and remind him who i am it s that mr eager why did he go did we talk too loud how vexatious i shall go and say we are sorry hadn t i better then perhaps he will come back,Lucy; Mr. Emerson,M,intermediate,M,intermediate
Mr. Emerson,George Emerson,128,129,then i had better speak to him and remind him who i am it s that mr eager why did he go did we talk too loud how vexatious i shall go and say we are sorry hadn t i better then perhaps he will come back,he will not come back,George Emerson; Lucy,M,intermediate,M,intermediate
George Emerson,Lucy,130,131,my father has that effect on nearly everyone he will try to be kind,i hope we all try,Lucy,M,intermediate,,
Lucy,George Emerson,131,132,i hope we all try,because we think it improves our characters but he is kind to people because he loves them and they find him out and are offended or frightened,George Emerson,,,M,intermediate
George Emerson,Lucy,132,133,because we think it improves our characters but he is kind to people because he loves them and they find him out and are offended or frightened,how silly of them i think that a kind action done tactfully,Lucy,M,intermediate,,
Lucy,George Emerson,133,134,how silly of them i think that a kind action done tactfully,tact,George Emerson,,,M,intermediate
George Emerson,Mr. Emerson,135,136,were you snubbed,but we have spoilt the pleasure of i don t know how many people they won t come back,Lucy; Mr. Emerson,M,intermediate,M,intermediate
Mr. Emerson,Lucy,138,139,don t let us spoil yours have you looked at those saints,yes they are lovely do you know which is the tombstone that is praised in ruskin,George Emerson; Lucy,M,intermediate,,
Lucy,Mr. Emerson,139,140,yes they are lovely do you know which is the tombstone that is praised in ruskin,why will he look at that fresco i saw nothing in it,George Emerson; Mr. Emerson,,,M,intermediate
Mr. Emerson,Lucy,140,141,why will he look at that fresco i saw nothing in it,i like giotto it is so wonderful what they say about his tactile values though i like things like the della robbia babies better,Lucy,M,intermediate,,
Lucy,Mr. Emerson,141,142,i like giotto it is so wonderful what they say about his tactile values though i like things like the della robbia babies better,so you ought a baby is worth a dozen saints and my baby s worth the whole of paradise and as far as i can see he lives in hell in hell he s unhappy,Mr. Emerson,,,M,intermediate
Mr. Emerson,Lucy,142,143,so you ought a baby is worth a dozen saints and my baby s worth the whole of paradise and as far as i can see he lives in hell in hell he s unhappy,oh dear,Lucy,M,intermediate,,
Lucy,Mr. Emerson,143,144,oh dear,how can he be unhappy when he is strong and alive what more is one to give him and think how he has been brought up free from all the superstition and ignorance that lead men to hate one another in the name of god with such an education as that i thought he was bound to grow up happy what are we to do with him he comes out for his holiday to italy and behaves like that like the little child who ought to have been playing and who hurt himself upon the tombstone eh what did you say now don t be stupid over this i don t require you to fall in love with my boy but i do think you might try and understand him you are nearer his age and if you let yourself go i am sure you are sensible you might help me he has known so few women and you have the time you stop here several weeks i suppose but let yourself go you are inclined to get muddled if i may judge from last night let yourself go pull out from the depths those thoughts that you do not understand and spread them out in the sunlight and know the meaning of them by understanding george you may learn to understand yourself it will be good for both of you i only know what it is that s wrong with him not why it is,Mr. Emerson,,,M,intermediate
