pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00010,Miss Bartlett,Lucy,52,906,my dear lucia,oh no charlotte george emerson is all right and what other source is there,Lucy,F,major,,,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1
00011,Miss Bartlett,Lucy,54,26,funny girl how you do remind me of your mother i wonder if she will approve of mr beebe,yes i heard from mother so last week she didn t know that i knew you at tunbridge wells but i wrote back at once and i said mr beebe is,Lucy,F,major,,,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1
00012,Miss Bartlett,Lucy,58,421,i am afraid you are finding me a very depressing companion,you mustn t say these things,Lucy,F,major,,,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
00013,Miss Bartlett,Lucy,64,1059,undoubtedly he was,very well no one will help me i will speak to him myself,Lucy; The Little Old Lady,F,major,,,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0
00014,Miss Bartlett,Lucy,66,373,beautiful are not beauty and delicacy the same,i have been obstinate and silly worse than you know far worse once by the river oh but he isn t killed he wouldn t be killed would he,Lucy; The Little Old Lady,F,major,,,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1
00015,Miss Bartlett,Lucy,75,427,poor young man,why need mother hear of it,Lucy; Mr. Beebe; The Little Old Lady,F,major,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
00016,Miss Bartlett,Lucy,78,1039,i think one might venture now no lucy do not stir i will superintend the move,there are violets i cannot believe it is a coincidence charlotte charlotte how could you have told her i have thought before speaking it must be you,Lucy,F,major,,,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
00017,Miss Bartlett,Lucy,80,901,naturally dear it is my affair,i ll get it cecil give me that sovereign no give me up that sovereign i ll get euphemia to change it and we ll start the whole thing again from the beginning,Lucy,F,major,,,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1
00018,Miss Bartlett,Lucy,82,389,no dear i want to explain why it is that i have taken the largest room naturally of course i should have given it to you but i happen to know that it belongs to the young man and i was sure your mother would not like it if you are to accept a favour it is more suitable you should be under an obligation to his father than to him i am a woman of the world in my small way and i know where things lead to however mr beebe is a guarantee of a sort that they will not presume on this,i have a feeling that talk is a thing he will never do,Lucy,F,major,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
00019,Miss Bartlett,Lucy,295,393,because mr beebe has asked eleanor lavish to come too,i propose to speak to him you see charlotte your kindness i shall never forget it but as you said it is my affair mine and his,Lucy,F,major,,,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0
00020,Miss Bartlett,Lucy,297,1055,far worse mr eager does not like eleanor she knows it herself the truth must be told she is too unconventional for him where things might lead to whether it is mr beebe who forgot to tell mr eager or mr eager who forgot when he told us or whether they have decided to leave eleanor out altogether which they could scarcely do but in any case we must be prepared it is you they really want i am only asked for appearances you shall go with the two gentlemen and i and eleanor will follow behind a one horse carriage would do for us yet how difficult it is,i want something more definite will you speak to him it is the least you can do surely considering it all happened because you broke your word,Lucy,F,major,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00021,Miss Bartlett,Lucy,299,904,what do you think about it,no i haven t let me see a sovereign s worth of silver no i haven t told cecil or any one i promised you i shouldn t here is your money all shillings except two half crowns would you count it you can settle your debt nicely now,Lucy,F,major,,,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
00022,Miss Bartlett,Lucy,301,916,oh dear lucy i do hope florence isn t boring you speak the word and as you know i would take you to the ends of the earth to morrow,now charlotte,Lucy,F,major,,,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
00023,Miss Bartlett,Lucy,303,377,and the news,heroes gods the nonsense of schoolgirls,Lucy,F,major,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
00024,Miss Bartlett,Lucy,305,306,oh not that way back we can never have too much of the dear piazza signoria,they re nice people the vyses so clever my idea of what s really clever don t you long to be in rome,Lucy,F,major,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00025,Miss Bartlett,Lucy,307,399,i die for it,i can t think,Lucy,F,major,,,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
00026,Miss Bartlett,Lucy,342,51,oh lucy you ought to be with mr eager i m sure,he is nice just what i remember he seems to see good in everyone no one would take him for a clergyman,Lucy; Miss Lavish,F,major,,,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0
00027,Miss Bartlett,Lucy,344,300,mr eager will be offended it is your party,i don t know what i think nor what i want,Lucy; Miss Lavish,F,major,,,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0
00028,Miss Bartlett,Lucy,349,910,lucy without a moment s doubt lucy the ground will do for me really i have not had rheumatism for years if i do feel it coming on i shall stand imagine your mother s feelings if i let you sit in the wet in your white linen here we are all settled delightfully even if my dress is thinner it will not show so much being brown sit down dear you are too unselfish you don t assert yourself enough now don t be alarmed this isn t a cold it s the tiniest cough and i have had it three days it s nothing to do with sitting here at all,oh it s all right,Lucy; Miss Lavish,F,major,,,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1
00029,Miss Bartlett,Lucy,372,296,do not cry dearest take your time,that will mean another carriage,Lucy,F,major,,,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
00030,Miss Bartlett,Lucy,374,1045,i trust not one would always pray against that,so you did tell,Lucy,F,major,,,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
00031,Miss Bartlett,Lucy,376,1090,in a book,let s go down to them,Lucy,F,major,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
00032,Miss Bartlett,Lucy,378,417,and then,but no,Lucy,F,major,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
00033,Miss Bartlett,Lucy,380,1047,don t be troubled dearest wait till you are calmer we will talk it over before bed time in my room,but charlotte what about the promise you gave me when we were packing why did you tell miss lavish when you wouldn t even let me tell mother,Lucy,F,major,,,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0
00034,Miss Bartlett,Lucy,382,298,well dear i at all events am ready for bedfordshire come into my room and i will give a good brush to your hair so what is to be done what is to be done a point dearest which you alone can settle,it is indeed,Lucy,F,major,,,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0
00035,Miss Bartlett,Lucy,384,1053,how do you propose to silence him,oh bother the credit and who s been right or wrong we ve both made a muddle of it george emerson is still down the garden there and is he to be left unpunished or isn t he i want to know you were ready enough at the bertolini when you rushed me off to rome can t you speak again to him now,Lucy,F,major,,,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1
00036,Miss Bartlett,Lucy,386,3,my dear girl no mr george emerson,i want so to see the arno the rooms the signora promised us in her letter would have looked over the arno the signora had no business to do it at all oh it is a shame,Lucy,F,major,,,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
00037,Miss Bartlett,Lucy,388,926,how are you going to stop him talking about it,cecil said one day and i thought it so profound that there are two kinds of cads the conscious and the subconscious,Lucy,F,major,,,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
00038,Miss Bartlett,Lucy,392,1043,my poor dear did you suppose that this was his first come here and listen to me i am only gathering it from his own remarks do you remember that day at lunch when he argued with miss alan that liking one person is an extra reason for liking another well i am no prude there is no need to call him a wicked young man but obviously he is thoroughly unrefined let us put it down to his deplorable antecedents and education if you wish but we are no farther on with our question what do you propose to do,not so that one could recognize it yes,Lucy,F,major,,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1
00039,Miss Bartlett,Lucy,394,67,and you are going to implore him to beg him to keep silence,so one would have thought but things are so difficult i sometimes think,Lucy,F,major,,,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1
00040,Miss Bartlett,Lucy,396,924,but we fear him for you dear you are so young and inexperienced you have lived among such nice people that you cannot realize what men can be how they can take a brutal pleasure in insulting a woman whom her sex does not protect and rally round this afternoon for example if i had not arrived what would have happened,no line he talked about italy like any other person it is really all right what advantage would he get from being a cad to put it bluntly i do wish i could make you see it my way he really won t be any nuisance charlotte,Lucy,F,major,,,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
00041,Miss Bartlett,Lucy,398,79,what would have happened if i hadn t arrived,how you do do everything,Lucy,F,major,,,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
00042,Miss Bartlett,Lucy,400,343,when he insulted you how would you have replied,i can t find them now and i don t want to either,Lucy,F,major,,,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0
00043,Miss Bartlett,Lucy,402,22,yes but won t you tell me now what you would have done,oh oh why it s mr beebe oh how perfectly lovely oh charlotte we must stop now however bad the rooms are oh,Lucy,F,major,,,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0
00044,Miss Bartlett,Lucy,404,375,come away from the window dear you will be seen from the road oh for a real man we are only two women you and i mr beebe is hopeless there is mr eager but you do not trust him oh for your brother he is young but i know that his sister s insult would rouse in him a very lion thank god chivalry is not yet dead there are still left some men who can reverence woman it will be a push to catch the morning train but we must try,he is really i think he was taken by surprise just as i was before but this time i m not to blame i want you to believe that i simply slipped into those violets no i want to be really truthful i am a little to blame i had silly thoughts the sky you know was gold and the ground all blue and for a moment he looked like someone in a book,Lucy,F,major,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00045,Miss Bartlett,Lucy,406,405,the train to rome,what train,Lucy,F,major,,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
00046,Miss Bartlett,Lucy,408,914,at eight,no to laugh at it,Lucy,F,major,,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
00047,Miss Bartlett,Lucy,410,403,we must face that,i should have,Lucy,F,major,,,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
00048,Miss Bartlett,Lucy,412,76,i expect she will however we shall be much more comfortable at the vyses hotel isn t afternoon tea given there for nothing,how angry he is with his father about the rooms it is all he can do to keep polite,Lucy,F,major,,,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
00049,Miss Bartlett,Lucy,414,1049,dearest lucy how will you ever forgive me,why did you tell her though this is a most serious thing cecil happened to read out the passage aloud to me and to mr emerson it upset mr emerson and he insulted me again behind cecil s back ugh is it possible that men are such brutes behind cecil s back as we were walking up the garden what is to be done now can you tell me,Lucy,F,major,,,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1
00050,Miss Bartlett,Lucy,416,83,you have a great deal and i have a very great deal to forgive myself too i know well how much i vex you at every turn,mother wouldn t mind i m sure,Lucy,F,major,,,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
00051,Miss Bartlett,Lucy,420,65,my only consolation was that you found people more to your taste and were often able to leave me at home i had my own poor ideas of what a lady ought to do but i hope i did not inflict them on you more than was necessary you had your own way about these rooms at all events,mr beebe has just been scolding me for my suspicious nature of course i was holding back on my cousin s account about old mr emerson i hardly know no he is not tactful yet have you ever noticed that there are people who do things which are most indelicate and yet at the same time beautiful,Lucy,F,major,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00052,Miss Bartlett,Lucy,422,302,i have been a failure failed to make you happy failed in my duty to your mother she has been so generous to me i shall never face her again after this disaster,thank you charlotte,Lucy,F,major,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
00053,Miss Bartlett,Lucy,424,53,it is my fault it is a disaster she will never forgive me and rightly for instance what right had i to make friends with miss lavish,well you know what i mean and you know how clergymen generally laugh mr beebe laughs just like an ordinary man,Lucy,F,major,,,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0
00054,Miss Bartlett,Lucy,426,912,when i was here for your sake if i have vexed you it is equally true that i have neglected you your mother will see this as clearly as i do when you tell her,i don t care if he does i was grateful to you for your letter but even if the news does get round i think i can trust cecil to laugh at it,Lucy,F,major,,,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
00055,Miss Bartlett,Lucy,428,55,but you tell her everything,i m sure she will and so will freddy,Lucy,F,major,,,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0
00056,Miss Bartlett,Lucy,430,1,i dare not break your confidence there is something sacred in it unless you feel that it is a thing you could not tell her,and a cockney besides it might be london charlotte don t you feel too that we might be in london i can hardly believe that all kinds of other things are just outside i suppose it is one s being so tired,Lucy,F,major,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
00057,Miss Bartlett,Lucy,893,18,but who am i to give the sovereign to,you see we don t like to take,Cecil; Freddy; Lucy; Minnie Beebe; Mr. Floyd,F,major,,,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
00058,Miss Bartlett,Lucy,900,401,i had forgotten the driver thank you dear for reminding me a shilling was it can any one give me change for half a crown,i hadn t time to think you came,Cecil; Freddy; Lucy; Minnie Beebe; Mr. Floyd,F,major,,,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
00059,Miss Bartlett,Lucy,903,7,have you told him about him yet,no no you must have it,Lucy,F,major,,,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0
00060,Miss Bartlett,Lucy,905,397,how dreadful how more than dreadful if mr vyse should come to hear of it from some other source,i can t think,Lucy,F,major,,,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0
00061,Miss Bartlett,Lucy,907,59,for instance the driver i saw him looking through the bushes at you remember he had a violet between his teeth,i must have been selfish or unkind i must be more careful it is so dreadful for charlotte being poor,Lucy,F,major,,,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1
00062,Miss Bartlett,Lucy,909,381,we must think of every possibility,at last i shall understand myself i shan t again be troubled by things that come out of nothing and mean i don t know what,Lucy,F,major,,,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00063,Miss Bartlett,Lucy,911,383,or perhaps old mr emerson knows in fact he is certain to know,it has been raining for nearly four hours,Lucy,F,major,,,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1
00064,Miss Bartlett,Lucy,913,345,to contradict it,please i d rather stop here with you,Lucy,F,major,,,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
00065,Miss Bartlett,Lucy,915,423,very well dear you know best perhaps gentlemen are different to what they were when i was young ladies are certainly different,but mother will understand it is not your fault this trouble and it isn t a disaster either,Lucy,F,major,,,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0
00066,Miss Bartlett,Lucy,917,24,i am no match for you in conversation dearest i blush when i think how i interfered at florence and you so well able to look after yourself and so much cleverer in all ways than i am you will never forgive me,i am so glad to see you just fancy how small the world is summer street too makes it so specially funny,Lucy,F,major,,,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
00067,Miss Bartlett,Lucy,919,413,dear one moment we may not have this chance for a chat again have you seen the young one yet,yes but they pay extra for wine,Lucy,F,major,,,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
00068,Miss Bartlett,Lucy,921,908,what happened,we shall get the silly affair on our nerves if we aren t careful how could a florentine cab driver ever get hold of cecil,Lucy,F,major,,,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0
00069,Miss Bartlett,Lucy,923,1088,what line is he taking up,well he amuses me either i m mad or else he is and i m inclined to think it s the latter one more fuss through with you charlotte many thanks i think though that this is the last my admirer will hardly trouble me again,Lucy,F,major,,,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1
00070,Miss Bartlett,Lucy,925,1292,once a cad always a cad that is my poor opinion,no church for me thank you,Lucy,F,major,,,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0
00071,Miss Bartlett,Lucy,927,395,once a cad always a cad,certainly not there would be no difficulty whatever you ask him he answers yes or no then it is over i have been frightened of him but now i am not one little bit,Lucy,F,major,,,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
00072,Miss Bartlett,Lucy,1038,5,my good lucia i am all at sea i know nothing about it whatever,charlotte you mustn t spoil me of course you must look over the arno too i meant that the first vacant room in the front,Lucy,F,major,,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
00073,Miss Bartlett,Lucy,1040,920,told her what,yes i have,Lucy,F,major,,,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
00074,Miss Bartlett,Lucy,1042,429,oh lucy dearest girl she hasn t put that in her book,i suppose i do generally,Lucy,F,major,,,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
00075,Miss Bartlett,Lucy,1044,415,then never never never more shall eleanor lavish be a friend of mine,charlotte dear what do you mean as if i have anything to forgive,Lucy,F,major,,,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
00076,Miss Bartlett,Lucy,1046,922,i did just happen when i had tea with her at rome in the course of conversation,we met at the rectory,Lucy,F,major,,,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0
00077,Miss Bartlett,Lucy,1048,387,i will never forgive eleanor she has betrayed my confidence,i don t understand,Lucy,F,major,,,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
00078,Miss Bartlett,Lucy,1050,1051,oh lucy i shall never forgive myself never to my dying day fancy if your prospects,i know i see now why you wanted me to tell cecil and what you meant by you knew that you had told miss lavish and that she was not reliable however what s done s done you have put me in a most awkward position how am i to get out of it he must that man must have such a setting down that he won t forget and who s to give it him i can t tell mother now owing to you nor cecil charlotte owing to you i am caught up every way i think i shall go mad i have no one to help me that s why i ve sent for you what s wanted is a man with a whip yes but it s no good agreeing what s to be done we women go maundering on what does a girl do when she comes across a cad,Lucy,F,major,,,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
00079,Miss Bartlett,Lucy,1052,308,i always said he was a cad dear give me credit for that at all events from the very first moment when he said his father was having a bath,charlotte here s an idea what if we popped off to rome to morrow straight to the vyses hotel for i do know what i want i m sick of florence no you said you d go to the ends of the earth do do,Lucy,F,major,,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
00080,Miss Bartlett,Lucy,1054,409,willingly would i move heaven and earth,signora bertolini would be upset,Lucy,F,major,,,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
00081,Miss Bartlett,Lucy,1056,379,never again shall eleanor lavish be a friend of mine,but charlotte you know what happened then i want to be truthful it is so hard to be absolutely truthful,Lucy,F,major,,,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0
00082,Miss Bartlett,Lucy,1058,1041,it is the kind of thing that only a gentleman can settle,about that dreadful afternoon in february,Lucy,F,major,,,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0
00083,Miss Bartlett,Lucy,1061,411,oh lucy but that is brave of you i admire you,she will make us pay for a whole week s pension,Lucy,F,major,,,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1
00084,Miss Bartlett,Lucy,1063,894,lucy do you mind doing it,let s leave it all till mother comes back,Lucy,F,major,,,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1
00085,Miss Bartlett,Lucy,1087,1062,oh lucia come back here oh what an awful man,freddy has taken him into the dining room the others are going down the garden come let us get this over quickly come i want you in the room of course,Lucy,F,major,,,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0
00086,Miss Bartlett,Lucy,1089,81,well it isn t everyone who could boast such a conquest dearest is it oh one oughtn t to laugh really it might have been very serious but you were so sensible and brave so unlike the girls of my day,but i would like to help you,Lucy,F,major,,,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
00087,Miss Bartlett,Lucy,1291,918,lucy dearest,shall we go out then they will smash all the china if we don t,Lucy; Mrs. Honeychurch,F,major,,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
00088,Lucy,Miss Bartlett,1,917,and a cockney besides it might be london charlotte don t you feel too that we might be in london i can hardly believe that all kinds of other things are just outside i suppose it is one s being so tired,i am no match for you in conversation dearest i blush when i think how i interfered at florence and you so well able to look after yourself and so much cleverer in all ways than i am you will never forgive me,Miss Bartlett,,,F,major,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
00089,Lucy,Miss Bartlett,3,1040,i want so to see the arno the rooms the signora promised us in her letter would have looked over the arno the signora had no business to do it at all oh it is a shame,told her what,Miss Bartlett,,,F,major,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
00090,Lucy,Miss Bartlett,5,422,charlotte you mustn t spoil me of course you must look over the arno too i meant that the first vacant room in the front,i have been a failure failed to make you happy failed in my duty to your mother she has been so generous to me i shall never face her again after this disaster,Miss Bartlett,,,F,major,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
00091,Lucy,Miss Bartlett,7,23,no no you must have it,how do you do mr beebe i expect that you have forgotten us miss bartlett and miss honeychurch who were at tunbridge wells when you helped the vicar of st peter s that very cold easter,Miss Bartlett,,,F,major,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0
00092,Lucy,Miss Bartlett,22,402,oh oh why it s mr beebe oh how perfectly lovely oh charlotte we must stop now however bad the rooms are oh,yes but won t you tell me now what you would have done,George Emerson; Miss Bartlett; Mr. Beebe; Mr. Emerson,,,F,major,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0
00093,Lucy,Miss Bartlett,24,1046,i am so glad to see you just fancy how small the world is summer street too makes it so specially funny,i did just happen when i had tea with her at rome in the course of conversation,George Emerson; Miss Bartlett; Mr. Beebe,,,F,major,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
00094,Lucy,Miss Bartlett,28,1038,oh how glad i am the name of our house is windy corner there is mother and me generally and my brother though it s not often we get him to ch the church is rather far off i mean,my good lucia i am all at sea i know nothing about it whatever,George Emerson; Miss Bartlett; Mr. Beebe; Mr. Emerson,,,F,major,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
00095,Lucy,Miss Bartlett,51,410,he is nice just what i remember he seems to see good in everyone no one would take him for a clergyman,we must face that,Miss Bartlett,,,F,major,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0
00096,Lucy,Miss Bartlett,53,895,well you know what i mean and you know how clergymen generally laugh mr beebe laughs just like an ordinary man,no dear your mother may take quite a long drive now that she is not hampered with me we all have our little foibles and mine is the prompt settling of accounts please please i know i am a sad spoil sport but it would make me wretched i should practically be robbing the one who lost,Miss Bartlett,,,F,major,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
00097,Lucy,Miss Bartlett,55,374,i m sure she will and so will freddy,i trust not one would always pray against that,Miss Bartlett,,,F,major,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
00098,Lucy,Miss Bartlett,63,388,i think he was meaning to be kind,how are you going to stop him talking about it,Miss Bartlett; The Little Old Lady,,,F,major,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0
00099,Lucy,Miss Bartlett,65,428,mr beebe has just been scolding me for my suspicious nature of course i was holding back on my cousin s account about old mr emerson i hardly know no he is not tactful yet have you ever noticed that there are people who do things which are most indelicate and yet at the same time beautiful,but you tell her everything,Miss Bartlett; The Little Old Lady,,,F,major,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0
00100,Lucy,Miss Bartlett,79,406,how you do do everything,the train to rome,Miss Bartlett,,,F,major,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
