pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00026,Margaret,Aunt Juley,308,1826,mr wilcox possibly,no but he has to do his chinese some real companion is what you need really helen is odd,Aunt Juley,F,major,F,major,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
00027,Margaret,Aunt Juley,310,7,it s a shame to call his face copper colour he has a remarkably good complexion for a man of his age helen did not take the news quite as i expected but the wilcox nerve is dead in her really so there s no need for plans,i still feel quite uneasy about this business margaret,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0
00028,Margaret,Aunt Juley,314,291,because because i d sooner risk it,and helen must be careful too,Aunt Juley,F,major,F,major,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
00029,Margaret,Aunt Juley,316,1339,i hope to risk things all my life,but going away without taking the weymouth trip or even the lulworth without going once more up nine barrows down,Aunt Juley,F,major,F,major,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1
00030,Margaret,Aunt Juley,318,9,but after all there s never any great risk as long as you have money,the germans are too thorough and this is all very well sometimes but at other times it does not do,Aunt Juley,F,major,F,major,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
00031,Margaret,Aunt Juley,320,33,money pads the edges of things god help those who have none,only with helen,Aunt Juley,F,major,F,major,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
00032,Margaret,Aunt Juley,322,331,new for me sensible people have acknowledged it for years you and i and the wilcoxes stand upon money as upon islands it is so firm beneath our feet that we forget its very existence it s only when we see some one near us tottering that we realise all that an independent income means last night when we were talking up here round the fire i began to think that the very soul of the world is economic and that the lowest abyss is not the absence of love but the absence of coin,i beg your pardon i interrupted you what was it you were saying about reality,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
00033,Margaret,Aunt Juley,324,29,so do i but helen and i we ought to remember when we are tempted to criticise others that we are standing on these islands and that most of the others are down below the surface of the sea the poor cannot always reach those whom they want to love and they can hardly ever escape from those whom they love no longer we rich can imagine the tragedy last june if helen and paul wilcox had been poor people and couldn t invoke railways and motor cars to part them,exactly so but won t you let me just run down to howards house and save you all the discomfort i will really not interfere but i do so thoroughly understand the kind of thing you schlegels want that one quiet look round will be enough for me,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00034,Margaret,Aunt Juley,326,1065,call it what you like i call it going through life with one s hand spread open on the table i m tired of these rich people who pretend to be poor and think it shows a nice mind to ignore the piles of money that keep their feet above the waves i stand each year upon six hundred pounds and helen upon the same and tibby will stand upon eight and as fast as our pounds crumble away into the sea they are renewed from the sea yes from the sea and all our thoughts are the thoughts of six hundred pounders and all our speeches and because we don t want to steal umbrellas ourselves we forget that below the sea people do want to steal them and do steal them sometimes and that what s a joke up here is down there reality,your father may have been able to change countries and that may or may not be a good thing but he could change houses no better than you can in fact much worse never shall i forget what poor emily suffered in the move from manchester,Aunt Juley,F,major,F,major,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00035,Margaret,Aunt Juley,328,307,what is it,she minds i knew she d mind and i m sure a girl ought to such an experience such awful coarse grained people i know more about them than you do which you forget and if charles had taken you that motor drive well you d have reached the house a perfect wreck oh margaret you don t know what you are in for they re all bottled up against the drawing room window there s mrs wilcox i ve seen her there s paul there s evie who is a minx there s charles i saw him to start with and who would an elderly man with a moustache and a copper coloured face be,Aunt Juley,F,major,F,major,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1
00036,Margaret,Aunt Juley,330,333,why shouldn t she,do tell me this at all events are you for the rich or for the poor,Aunt Juley,F,major,F,major,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1
00037,Margaret,Aunt Juley,332,337,i had worked round to myself as usual,so am i and so i am afraid are most of my acquaintances at swanage but i am surprised that you agree with us,Aunt Juley,F,major,F,major,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1
00038,Margaret,Aunt Juley,334,19,too difficult ask me another am i for poverty or for riches for riches hurrah for riches,then in that case my dear why go down i consider you odd girls and very wonderful girls and in many ways far older than your years but you won t be offended frankly i feel you are not up to this business it requires an older person dear i have nothing to call me back to swanage i am all at your disposal let me go down to this house whose name i forget instead of you,Aunt Juley,F,major,F,major,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00039,Margaret,Aunt Juley,336,323,yes for riches money for ever,i call that rather cynical,Aunt Juley,F,major,F,major,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
00040,Margaret,Aunt Juley,338,325,thank you so much aunt juley while i have talked theories you have done the flowers,that s more like socialism,Aunt Juley,F,major,F,major,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
00041,Margaret,Aunt Juley,340,289,well would you be very kind would you come round with me to the registry office there s a housemaid who won t say yes but doesn t say no,but you will be careful won t you,Aunt Juley,F,major,F,major,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
00042,Margaret,Aunt Juley,1054,1055,shan t i go up to town to day take the house if it s the least possible and then come down by the afternoon train to morrow and start enjoying myself i shall be no fun to myself or to others until this business is off my mind,but you won t do anything rash margaret,Aunt Juley; Helen; Tibby,F,major,F,major,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0
00043,Margaret,Aunt Juley,1064,283,i was thinking of father how could he settle to leave germany as he did when he had fought for it as a young man and all his feelings and friends were prussian how could he break loose with patriotism and begin aiming at something else it would have killed me when he was nearly forty he could change countries and ideals and we at our age can t change houses it s humiliating,for a clever girl dear how very oddly you do talk helen ll have to have something more to do with them now that they re all opposite she may meet that paul in the street she cannot very well not bow,Aunt Juley; Helen; Tibby,F,major,F,major,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
00044,Margaret,Aunt Juley,1338,132,not want but there is so much to be settled and i do want to see the charles s,whom is margaret talking to would it be some young man or other whom she takes an interest in,Aunt Juley; Henry,F,major,F,major,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
00045,Margaret,Aunt Juley,1819,335,helen won t be able to stop aunt juley she has telegraphed that she can only get away just to see you she must go back to germany as soon as you are well,for riches,Aunt Juley,F,major,F,major,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
00046,Margaret,Aunt Juley,1821,327,yes dear,there they go there goes fraulein mosebach really for a german she does dress charmingly oh,Aunt Juley,F,major,F,major,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
00047,Margaret,Aunt Juley,1823,315,i have been for a little walk with miss conder,but imagine the evenings turn the electric light on here or there and it s almost the same room one evening they may forget to draw their blinds down and you ll see them and the next you yours and they ll see you impossible to sit out on the balconies impossible to water the plants or even speak imagine going out of the front door and they come out opposite at the same moment and yet you tell me that plans are unnecessary and you d rather risk it,Aunt Juley,F,major,F,major,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
00048,Margaret,Aunt Juley,1825,5,i have tibby aunt juley,but margaret dear,Aunt Juley,F,major,F,major,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
00049,Margaret,Aunt Juley,1827,1820,helen is odd very,how very odd of helen mr wilcox,Aunt Juley,F,major,F,major,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
00050,Aunt Juley,Margaret,1,1823,in that case it is far too sudden,i have been for a little walk with miss conder,Margaret,F,major,F,major,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1
00051,Aunt Juley,Margaret,3,330,but margaret dear i mean we mustn t be unpractical now that we ve come to facts it is too sudden surely,why shouldn t she,Margaret,F,major,F,major,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0
00052,Aunt Juley,Margaret,5,320,but margaret dear,money pads the edges of things god help those who have none,Margaret,F,major,F,major,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
00053,Aunt Juley,Margaret,7,306,i still feel quite uneasy about this business margaret,oh hush frieda ll hear you and she can be so tiresome,Margaret,F,major,F,major,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0
00054,Aunt Juley,Margaret,9,177,the germans are too thorough and this is all very well sometimes but at other times it does not do,do you agree do you think music is so different from pictures,Margaret,F,major,F,major,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0
00055,Aunt Juley,Margaret,11,24,of course i regard you schlegels as english english to the backbone and that reminds me helen s letter,or if she had wanted to marry the man who calls for carter paterson i should have said the same though in the case of carter paterson i should want it to be a very long engagement indeed i must say,Margaret,F,major,F,major,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1
00056,Aunt Juley,Margaret,13,286,but go with some plan margaret if i may interfere don t be taken by surprise what do you think of the wilcoxes are they our sort are they likely people could they appreciate helen who is to my mind a very special sort of person do they care about literature and art that is most important when you come to think of it literature and art most important how old would the son be she says younger son would he be in a position to marry is he likely to make helen happy did you gather,i wonder or was it sensible,Margaret,F,major,F,major,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0
00057,Aunt Juley,Margaret,15,28,then in that case,can you break an engagement off slowly what s an engagement made of do you suppose i think it s made of some hard stuff that may snap but can t break it is different to the other ties of life they stretch or bend they admit of degree they re different,Margaret,F,major,F,major,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1
00058,Aunt Juley,Margaret,17,1056,on the contrary,there s nothing rash to do,Margaret,F,major,F,major,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
00059,Aunt Juley,Margaret,19,2,then in that case my dear why go down i consider you odd girls and very wonderful girls and in many ways far older than your years but you won t be offended frankly i feel you are not up to this business it requires an older person dear i have nothing to call me back to swanage i am all at your disposal let me go down to this house whose name i forget instead of you,who knows aunt juley who knows,Margaret,F,major,F,major,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
00060,Aunt Juley,Margaret,21,12,i do understand i go down in no spirit of interference but to make inquiries inquiries are necessary now i am going to be rude you would say the wrong thing to a certainty you would in your anxiety for helen s happiness you would offend the whole of these wilcoxes by asking one of your impetuous questions not that one minds offending them,oh yes aunt juley i am thinking all right about helen s letter i know i must go down and see her i am thinking about her all right i am meaning to go down,Margaret,F,major,F,major,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
00061,Aunt Juley,Margaret,23,22,dear margaret do come into the library and shut the door your good maids are dusting the banisters,i shall ask no questions i have it in helen s writing that she and a man are in love there is no question to ask as long as she keeps to that all the rest isn t worth a straw a long engagement if you like but inquiries questions plans lines of action no aunt juley no if helen had written the same to me about a shop assistant or a penniless clerk,Margaret,F,major,F,major,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
00062,Aunt Juley,Margaret,25,332,i should think so and indeed i can scarcely follow you now just imagine if you said anything of that sort to the wilcoxes i understand it but most good people would think you mad imagine how disconcerting for helen what is wanted is a person who will go slowly slowly in this business and see how things are and where they are likely to lead to,i had worked round to myself as usual,Margaret,F,major,F,major,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
00063,Aunt Juley,Margaret,27,18,i think probably it must but slowly,i hate plans i hate lines of action helen isn t a baby,Margaret,F,major,F,major,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
00064,Aunt Juley,Margaret,29,26,exactly so but won t you let me just run down to howards house and save you all the discomfort i will really not interfere but i do so thoroughly understand the kind of thing you schlegels want that one quiet look round will be enough for me,but you implied just now that the engagement must be broken off,Margaret,F,major,F,major,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
00065,Aunt Juley,Margaret,31,322,so uncivilised,new for me sensible people have acknowledged it for years you and i and the wilcoxes stand upon money as upon islands it is so firm beneath our feet that we forget its very existence it s only when we see some one near us tottering that we realise all that an independent income means last night when we were talking up here round the fire i began to think that the very soul of the world is economic and that the lowest abyss is not the absence of love but the absence of coin,Margaret,F,major,F,major,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
00066,Aunt Juley,Margaret,140,334,margaret is helen all right,too difficult ask me another am i for poverty or for riches for riches hurrah for riches,Fraulein Mosebach; Leonard; Margaret; Tibby,F,major,F,major,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1
00067,Aunt Juley,Margaret,162,4,margaret margaret margaret fraulein mosebach has left her beautiful little bag behind her on the seat,who knows,Leonard; Margaret; Tibby,F,major,F,major,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
00068,Aunt Juley,Margaret,176,14,a specially loud part of course i do not go in for being musical i only care for music a very different thing but still i will say this for myself i do know when i like a thing and when i don t some people are the same about pictures they can go into a picture gallery miss conder can and say straight off what they feel all round the wall i never could do that but music is so different from pictures to my mind when it comes to music i am as safe as houses and i assure you tibby i am by no means pleased by everything there was a thing something about a faun in french which helen went into ecstasies over but i thought it most tinkling and superficial and said so and i held to my opinion too,i gathered nothing,Leonard; Margaret; Tibby,F,major,F,major,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0
00069,Aunt Juley,Margaret,208,318,oh my dear how can you say such dreadful things the number of men you get here has always astonished me if there is any danger it s the other way round,but after all there s never any great risk as long as you have money,Helen; Margaret; Tibby,F,major,F,major,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
00070,Aunt Juley,Margaret,283,340,for a clever girl dear how very oddly you do talk helen ll have to have something more to do with them now that they re all opposite she may meet that paul in the street she cannot very well not bow,well would you be very kind would you come round with me to the registry office there s a housemaid who won t say yes but doesn t say no,Margaret,F,major,F,major,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
00071,Aunt Juley,Margaret,285,310,how very rude,it s a shame to call his face copper colour he has a remarkably good complexion for a man of his age helen did not take the news quite as i expected but the wilcox nerve is dead in her really so there s no need for plans,Margaret,F,major,F,major,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
00072,Aunt Juley,Margaret,287,1338,no margaret most rude,not want but there is so much to be settled and i do want to see the charles s,Margaret,F,major,F,major,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1
00073,Aunt Juley,Margaret,289,32,but you will be careful won t you,oh i used an affected word i only meant would you please talk the thing over only with helen,Margaret,F,major,F,major,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0
00074,Aunt Juley,Margaret,305,312,helen cannot deceive me she does mind,no it s as well not to be prepared,Margaret,F,major,F,major,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0
00075,Aunt Juley,Margaret,307,1825,she minds i knew she d mind and i m sure a girl ought to such an experience such awful coarse grained people i know more about them than you do which you forget and if charles had taken you that motor drive well you d have reached the house a perfect wreck oh margaret you don t know what you are in for they re all bottled up against the drawing room window there s mrs wilcox i ve seen her there s paul there s evie who is a minx there s charles i saw him to start with and who would an elderly man with a moustache and a copper coloured face be,i have tibby aunt juley,Margaret,F,major,F,major,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0
00076,Aunt Juley,Margaret,309,16,i knew it and there s mr wilcox,in that case i can make no plans don t you see,Margaret,F,major,F,major,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0
00077,Aunt Juley,Margaret,311,284,it s as well to be prepared,of course she must bow but look here let s do the flowers i was going to say the will to be interested in him has died and what else matters i look on that disastrous episode over which you were so kind as the killing of a nerve in helen it s dead and she ll never be troubled with it again the only things that matter are the things that interest one bowing even calling and leaving cards even a dinner party we can do all those things to the wilcoxes if they find it agreeable but the other thing the one important thing never again don t you see i also have the honour to inform you that the wilcoxes are bored with us i didn t tell you at the time it might have made you angry and you had enough to worry you but i wrote a letter to mrs w and apologised for the trouble that helen had given them she didn t answer it,Margaret,F,major,F,major,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
00078,Aunt Juley,Margaret,315,1827,but imagine the evenings turn the electric light on here or there and it s almost the same room one evening they may forget to draw their blinds down and you ll see them and the next you yours and they ll see you impossible to sit out on the balconies impossible to water the plants or even speak imagine going out of the front door and they come out opposite at the same moment and yet you tell me that plans are unnecessary and you d rather risk it,helen is odd very,Margaret,F,major,F,major,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0
00079,Aunt Juley,Margaret,317,8,oh margaret most dangerous,the train crossed by a bridge of boats and at first sight it looked quite fine but oh in five minutes we had seen the whole thing the cathedral had been ruined absolutely ruined by restoration not an inch left of the original structure we wasted a whole day and came across the wilcoxes as we were eating our sandwiches in the public gardens they too poor things had been taken in they were actually stopping at speyer and they rather liked helen s insisting that they must fly with us to heidelberg as a matter of fact they did come on next day we all took some drives together they knew us well enough to ask helen to come and see them at least i was asked too but tibby s illness prevented me so last monday she went alone that s all you know as much as i do now it s a young man out of the unknown she was to have come back saturday but put off till monday perhaps on account of i don t know,Margaret,F,major,F,major,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
00080,Aunt Juley,Margaret,319,290,oh shame what a shocking speech,oh certainly fiendishly careful,Margaret,F,major,F,major,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
00081,Aunt Juley,Margaret,321,1819,but this is something quite new,helen won t be able to stop aunt juley she has telegraphed that she can only get away just to see you she must go back to germany as soon as you are well,Margaret,F,major,F,major,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0
00082,Aunt Juley,Margaret,323,10,i call that rather cynical,exactly germans are too thorough,Margaret,F,major,F,major,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
00083,Aunt Juley,Margaret,325,141,that s more like socialism,oh yes,Margaret,F,major,F,major,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
00084,Aunt Juley,Margaret,327,1821,there they go there goes fraulein mosebach really for a german she does dress charmingly oh,yes dear,Margaret,F,major,F,major,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
00085,Aunt Juley,Margaret,329,30,helen was looking up at the wilcoxes flat,yes i have changed my mind i do wish that you would go you will remember aunt juley not to be drawn into discussing the engagement give my letter to helen and say whatever you feel yourself but do keep clear of the relatives we have scarcely got their names straight yet and besides that sort of thing is so uncivilised and wrong,Margaret,F,major,F,major,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
00086,Aunt Juley,Margaret,331,1829,i beg your pardon i interrupted you what was it you were saying about reality,no doubt she will change her mind when she sees us she has not the least balance,Margaret,F,major,F,major,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1
00087,Aunt Juley,Margaret,333,308,do tell me this at all events are you for the rich or for the poor,mr wilcox possibly,Margaret,F,major,F,major,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
